price,square_meters,rooms,floor,is_promoted,condition,latitude,longitude,date,price_per_sqm,safe_room,elevator,parking,bars,air_conditioning,air_conditioner,accessible,furniture
1000000,600,3,2,1,4,31.258213,34.793991,0,1666.6666666666667,0,0,0,0,1,1,0,0
770000,750,3,3,1,3,31.250393,34.7765,0,1026.6666666666667,1,0,1,0,1,1,0,0
1920000,1810,5,1,1,2,31.286982,34.807449,0,1060.7734806629835,1,1,1,0,1,1,1,0
1550000,3500,0,0,1,5,0.0,0.0,0,442.85714285714283,0,0,0,0,1,1,1,0
1045000,970,4,3,1,1,31.249134,34.784197,0,1077.319587628866,0,0,1,0,1,1,0,1
0,1290,4,7,1,3,31.233793,34.783744,0,0.0,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
920000,800,3,3,1,4,31.268749,34.799146,0,1150.0,0,0,0,0,1,1,0,1
650000,600,25,3,1,3,31.261318,34.776843,0,1083.3333333333333,0,0,1,1,1,1,0,1
655000,540,3,3,1,3,31.270604,34.789715,0,1212.962962962963,0,0,1,1,1,1,0,1
980000,1150,4,2,1,4,31.260208,34.769508,0,852.1739130434783,0,0,0,0,1,1,0,0
1800000,1360,4,2,1,2,31.233378,34.770574,0,1323.5294117647059,1,1,1,0,1,1,1,0
1200000,1000,4,3,1,4,31.254586,34.795247,0,1200.0,0,0,0,0,1,1,0,0
1280000,1400,5,13,1,3,31.252347,34.77762,0,914.2857142857143,0,1,1,0,1,1,1,0
0,1450,6,0,1,3,31.26935,34.809065,0,0.0,1,0,1,1,1,1,1,1
950000,560,3,2,1,3,31.256228,34.809242,0,1696.4285714285713,0,0,0,0,1,1,0,1
780000,750,3,1,1,3,0.0,0.0,0,1040.0,0,0,0,1,1,1,0,1
810000,1000,4,2,2,4,31.2409898,34.8102776,0,810.0,0,0,0,1,1,1,0,1
680000,1000,45,3,2,4,31.2409898,34.8102776,0,680.0,0,0,0,1,1,1,0,1
1500000,1370,3,1,2,2,0.0,0.0,0,1094.890510948905,1,1,1,0,1,1,1,0
1600000,1300,4,4,2,2,31.2348520833333,34.78421975,0,1230.7692307692307,1,1,1,0,1,1,1,1
915000,900,4,8,2,3,31.246045,34.77153,0,1016.6666666666666,0,1,0,1,1,1,0,0
2650000,2100,6,3,2,3,31.2409898,34.8102776,0,1261.904761904762,1,1,1,1,1,1,1,1
1375000,1280,4,3,2,2,31.2409898,34.8102776,0,1074.21875,1,1,1,0,1,1,1,0
920000,800,3,0,2,3,31.2610354354839,34.7913790483871,0,1150.0,0,0,0,0,1,1,1,1
2200000,4800,5,0,2,4,31.262445,34.7820128571429,0,458.3333333333333,1,0,1,1,1,1,1,0
1500000,1200,6,1,2,4,31.2496346578947,34.7887066052632,0,1250.0,0,0,0,0,1,1,0,1
2190000,1400,5,2,2,2,31.2855798196721,34.8087704098361,0,1564.2857142857142,1,0,1,0,1,1,0,0
2090000,1630,4,11,2,2,31.2552493114754,34.8029846721311,0,1282.2085889570553,1,1,1,1,1,1,1,0
935000,1000,4,4,2,3,31.2616455581395,34.7710032093023,0,935.0,0,0,0,0,1,1,0,1
1330000,1500,5,6,2,3,31.245398,34.782242,0,886.6666666666666,1,1,1,1,1,1,1,0
899000,1100,5,1,2,4,31.255914,34.809897,0,817.2727272727273,1,0,1,1,1,1,1,1
2175000,1350,4,1,2,2,31.2869,34.806846,0,1611.111111111111,1,1,1,1,1,1,1,0
880000,630,3,0,2,4,31.256262,34.810388,0,1396.8253968253969,0,0,1,0,1,1,1,0
1960000,1560,5,3,2,3,31.2327641573034,34.7701429213483,0,1256.4102564102564,1,1,1,0,1,1,1,0
860000,700,3,3,2,3,31.2524761157895,34.7782751157895,0,1228.5714285714287,0,0,0,0,1,1,0,1
1520000,2600,35,0,2,4,0.0,0.0,0,584.6153846153846,0,0,1,0,1,1,1,0
1290000,1140,4,1,1,4,31.240771,34.777115,0,1131.578947368421,1,0,0,0,1,1,0,0
1450000,1360,5,1,1,3,31.275644,34.80461,0,1066.1764705882354,0,0,1,1,0,0,0,0
